# LAST-UPDATED: 2023-07-27	0900

# [Manager]
SC-Sphere-2	54-BF-64-65-C3-2F

# [Server Production]
SC-Tellus	90-B1-1C-15-F4-F2
SC-Tellus	90-B1-1C-15-F4-F3
SC-Vanadium	00-1E-C9-2B-6F-C8
SC-Vanadium	00-1E-C9-2B-6F-C6

# [Testing and Development]
SC-Cavia-Server	90-B1-1C-9C-4D-48	
SC-Cavia	6C-2B-59-DB-C5-31
SC-Cavia-11		
SC-Cavia-10-V	00-15-5D-03-FB-08
SC-CAL-Cavia-V	00-15-5D-03-FB-0E

# [ILC and Development]
SC-Dysprosium	18-03-73-D4-7B-AF

# [Computer Applications Lab (CAL)]
SC-SSC-L-06	9C-B6-D0-E5-2B-5B
SC-SSC-L-07	9C-B6-D0-E5-2B-49
SC-SSC-L-08	9C-B6-D0-E5-2B-A3
SC-SSC-L-09	9C-B6-D0-E5-2B-83
SC-SSC-L-10	9C-B6-D0-E5-2B-AB
SC-SSC-L-11	9C-B6-D0-E8-CE-F7
SC-SSC-L-12	9C-B6-D0-E5-2B-B1
SC-SSC-L-13	9C-B6-D0-E5-2B-AF
SC-SSC-L-14	9C-B6-D0-E5-2F-51
SC-SSC-L-15	9C-B6-D0-E5-2B-59
SC-SSC-L-16	9C-B6-D0-E5-29-91
SC-SSC-L-21	B4-45-06-46-4D-5C
SC-SSC-L-22	B4-45-06-46-42-94
SC-SSC-L-23	B4-45-06-46-43-30
SC-SSC-L-24	B4-45-06-46-3B-5A
SC-SSC-L-25	B4-45-06-46-3E-A0
SC-SSC-L-26	B4-45-06-46-49-18
SC-SSC-L-27	04-BF-1B-FC-AA-87
SC-SSC-L-28	B4-45-06-46-4B-7A
SC-SSC-L-30	AC-1A-3D-9E-AF-48
SC-SSC-L-31	AC-1A-3D-9E-B2-A8
SC-SSC-L-32	AC-1A-3D-9E-B0-46
SC-SSC-L-33	AC-1A-3D-9E-B2-AA
SC-SSC-L-34	AC-1A-3D-9E-B2-40
SC-SSC-L-35	AC-1A-3D-9E-B2-CA
SC-SSC-L-36	AC-1A-3D-9E-B2-BA
SC-SSC-L-37	AC-1A-3D-9E-AF-40
SC-SSC-L-38	AC-1A-3D-9E-B2-42
SC-SSC-L-39	AC-1A-3D-9E-AF-42
SC-SSC-L-40
SC-SSC-L-41
SC-SSC-L-42
SC-SSC-L-43
SC-SSC-L-44
SC-SSC-L-45

# [Science Support Center (SSC) Microsoft Surface Pro's]
SC-SSC-SP5-1	C4-9D-ED-09-0B-01
SC-SSC-SP4-2	B4-AE-2B-E3-CF-D4
SC-SSC-SP4-3	98-5F-D3-5E-A8-2F
SC-SSC-SP4-4	98-5F-D3-D2-6E-E7
SC-SSC-SP6-5	BC-83-85-E0-D9-F0
SC-SSC-SP4-6	BC-83-85-21-A4-EF
SC-SSC-SP4-7	BC-83-85-29-58-17
SC-SSC-SP4-8	98-5F-D3-D2-6E-D9
SC-SSC-SP4-9	B4-AE-2B-E3-A0-E2

# [Scientific Instrumentation]
SC-Olympus-BX63	50-9A-4C-4C-4C-DB
SC-GOWMAC-1	78-2B-CB-B7-65-A7
SC-GOWMAC-2	78-2B-CB-B7-6A-62
SC-GOWMAC-3	78-2B-CB-B7-6B-07
SC-GOWMAC-4	78-2B-CB-B3-19-E6
